,Entropies
0,2.328754308038339
1,1.2079421134746127
2,2.1395822123135857
3,2.104382328229687
4,1.8938297671860311
5,2.0320336818140365
6,2.081744425587029
7,1.7427403857323198
8,2.249348534573802
9,1.9215769674937198
